2021-06-07 16:04:38,287 [Worker-1] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: NexcharVersion1.0Testing:NexcharVersion1.0Testing:0.0.1-SNAPSHOT @ C:\Users\Asus\OneDrive\Desktop\Nexchar_Version 1.0\NexcharVersion1.0Testing\pom.xml.
2021-06-07 16:04:40,179 [Worker-1] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /NexcharVersion1.0Testing/src/main/java
2021-06-07 16:04:40,181 [Worker-1] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding resource folder /NexcharVersion1.0Testing/src/main/resources
2021-06-07 16:04:40,183 [Worker-1] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /NexcharVersion1.0Testing/src/test/java
2021-06-07 16:04:40,183 [Worker-1] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding resource folder /NexcharVersion1.0Testing/src/test/resources
2021-06-07 16:04:40,878 [Worker-4] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2021-06-07 16:04:40,891 [Worker-4] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2021-06-07 16:04:40,897 [Worker-4] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2021-06-07 16:04:40,904 [Worker-4] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2021-06-07 16:07:55,981 [Worker-6] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2021-06-07 16:07:55,988 [Worker-6] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2021-06-07 16:07:55,990 [Worker-6] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2021-06-07 16:07:55,991 [Worker-6] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
